Altium Designer Pick and Place Locations
C:\applications\hardware\pca63557\trunk\production_files\400690_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       28/06/22
Time:       12:05
Revision:   24951
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U1","BQ24210","TopLayer","BQ24210","44.9900","18.4570","270","IC BATT CHG LI-ION 1CELL 10WSON"
"R5","820R","TopLayer","RESC1005X04L","45.4400","20.7820","270","Resistor, ±1%, 0.063W"
"R3","2k0","TopLayer","RESC1005X04L","42.5400","15.8320","180","Resistor, ±1%, 0.063W"
"P15","HDR-2, 2mm","TopLayer","B_2B-PH-K-S","52.7650","43.3320","90","JST-B2B-PH-K-S (LF)(SN)-HEADER-BIDE ENTRY, 2WAY"
"R41","100R","TopLayer","RESC1005X04L","44.4260","46.1812","180","Resistor, ±1%, 0.063W"
"R40","39R","TopLayer","RESC1005X04L","44.4260","44.5312","180","Resistor, ±1%, 0.063W"
"R39","39R","TopLayer","RESC1005X04L","44.4260","47.7062","180","Resistor, ±1%, 0.063W"
"Q3","TSM250N02DCQ RFG","TopLayer","DFN65P200X200X80_HS-6N","41.6950","48.1320","0","Dual N Ch MOFET, 5.8A, 55mOhm max, 620mW"
"Q2","TSM250N02DCQ RFG","TopLayer","DFN65P200X200X80_HS-6N","41.6756","44.8950","0","Dual N Ch MOFET, 5.8A, 55mOhm max, 620mW"
"LD3","LED RGB","TopLayer","LED_RGB_0606","47.2650","46.0070","180","RGB LED 1.60 mm x 1.60 mm SMD"
"U8","LS7184N","TopLayer","LS7184N","45.2650","39.0320","0","QUADRATURE CLOCK CONVERTER"
"U7","LS7184N","TopLayer","LS7184N","45.2650","31.5900","0","QUADRATURE CLOCK CONVERTER"
"R49","100k","TopLayer","RESC1005X04L","40.1650","39.1320","90","Resistor, ±1%, 0.063W"
"R48","N.C.","TopLayer","RESC1005X04L_NC","46.9150","42.2320","180","Not mounted"
"R47","N.C.","TopLayer","RESC1005X04L_NC","45.4150","42.7320","270","Not mounted"
"R46","N.C.","TopLayer","RESC1005X04L_NC","43.8900","42.2070","180","Not mounted"
"R45","100k","TopLayer","RESC1005X04L","40.2150","31.6570","90","Resistor, ±1%, 0.063W"
"R44","N.C.","TopLayer","RESC1005X04L_NC","46.7650","34.8070","180","Not mounted"
"R43","N.C.","TopLayer","RESC1005X04L_NC","45.2900","35.3070","270","Not mounted"
"R42","N.C.","TopLayer","RESC1005X04L_NC","43.7900","34.8070","180","Not mounted"
"C28","1.0µF","TopLayer","CAPC1005X04L","41.1400","39.1320","90","Capacitor, Ceramic, X5R, ±10%, 10V"
"C27","1.0µF","TopLayer","CAPC1005X04L","41.1650","31.6570","90","Capacitor, Ceramic, X5R, ±10%, 10V"
"R34","0R","TopLayer","RESC1005X04L","25.9650","8.9820","90","Resistor, ±5%, 0.063W"
"R31","0R","TopLayer","RESC1005X04L","25.3400","23.8320","90","Resistor, ±5%, 0.063W"
"R23","0R","TopLayer","RESC1005X04L","25.4650","7.5570","180","Resistor, ±5%, 0.063W"
"R20","0R","TopLayer","RESC1005X04L","25.9400","11.0320","90","Resistor, ±5%, 0.063W"
"TP9","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","18.0150","34.5070","0","1.5mm circular SMD testpad"
"TP10","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","17.9400","28.7320","0","1.5mm circular SMD testpad"
"TP11","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","17.4150","25.2070","90","1.5mm circular SMD testpad"
"TP8","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","17.1900","9.0070","90","1.5mm circular SMD testpad"
"TP7","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","17.5900","12.5820","90","1.5mm circular SMD testpad"
"TP6","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","17.6150","18.3070","90","1.5mm circular SMD testpad"
"TP5","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","36.0250","21.8250","90","1.5mm circular SMD testpad"
